ID,Sampleold,Sample,Distance,DistanceSmith,up.down,Location North,Location West,Date Sampled,Site ID,Spill Reference,Scheme,Top,Depth,Core ,HgcA,FeRB,SRB
27,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S1,5251.36,60.87415489,0.530181291
28,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S1,13178.57,201.4302773,1.114912694
29,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S2,3844.18,52.16931274,0.160842721
30,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S2,19322.28,259.1434064,1.582417649
31,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S3,3700.55,105.5347422,0.437241589
32,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S3,11086.19,219.8158645,1.061287777
33,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,Dredge,,,,3562.79,117.2394667,2.418213321
22,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,0,4,Pooled,469.83,0.229584165,0.021442858
23,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,4,8,Pooled,207.83,0.126062187,0.016954104
24,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,8,12,Pooled,1071.56,24.27738932,0.181693528
25,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,12,16,Pooled,428.98,23.8542978,0.17301483
26,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,Dredge,,,,4808.25,70.91217848,0.97069153
19,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,A,0,8,Pooled,278.01,0.032246917,0.008569028
20,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,A,8,16,Pooled,4.55,0.023229277,0.00574865
21,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,Ponar,,,,28238.84,178.8713814,2.29586387
37,L-08,L-01,0.0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S1,9818.8,407.0480157,1.231743854
38,L-08,L-01,0.0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S1,0,111.9348801,1.234801957
39,L-08,L-01,0.0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S2,838.27,44.08045689,0.459342946
40,L-08,L-01,0.0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S2,1669.88,41.18393876,0.596044062
41,L-08,L-01,0.0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S3,1980.55,55.78443529,0.388593263
42,L-08,L-01,0.0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S3,1637.46,35.35497583,0.358220022
43,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S1,8678.47,98.52819505,1.533221359
44,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S1,7124.49,37.07793709,0.479213345
45,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S2,2709.91,41.64828876,0.538363388
46,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S2,1908.69,16.55504716,0.262547523
47,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S3,1165.15,10.60092716,0.136546649
48,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S3,2421.48,23.4490048,0.457923889
49,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,Dredge,,,,4601.51,52.55869987,2.746560859
50,D-11,D-02,1.0,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,0,4,Pooled,194.68,0.109877982,0.025556182
51,D-11,D-02,1.0,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,4,8,Pooled,827.3,2.179871316,0.043896822
52,D-11,D-02,1.0,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,8,12,Pooled,548.04,1.724175821,0.048710605
53,D-11,D-02,1.0,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,12,16,Pooled,21.23,0.042712462,0.011564598
9,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,0,4,Pooled,10.88,0.008357617,0.010514243
10,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,4,8,Pooled,16.27,0.003242815,0.011520507
11,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,8,12,Pooled,11,0.00647452,0.01458566
12,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,12,16,Pooled,8.83,0.009507297,0.01283852
13,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,18,20,Pooled,3702.62,16.67408795,0.368712624
14,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,Ponar,,,,21588.39,251.7349565,2.430383651
1,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,B,0,8,S1,376.01,1.232545615,0.660044513
5,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,B,0,8,S3,9.46,0.003712684,0.009485679
7,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,Dredge,,,,68.13,0.006156658,0.017707821
8,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,Ponar,,,,95685.99,181.8468742,2.603826554
15,D-03,D-05,38.0,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,A,0,8,Pooled,4.33,0.004600159,0.028655858
16,D-03,D-05,38.0,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,A,8,16,Pooled,7.05,0.014766141,0.015363859
17,D-03,D-05,38.0,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,na,20,22,Pooled,145.15,0.294318581,0.012146287
18,D-03,D-05,38.0,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,Ponar,,,,6960.56,131.7938317,1.01357975
34,D-07,D-06,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,A,0,8,Pooled,925.73,12.73719766,0.07517004
35,D-07,D-06,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,A,8,16,Pooled,30.51,0.064026326,0.002210372
36,D-07,D-06,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,Dredge,,,,2336.7,64.07,2
