ID,Sample,Distance,up.down,Location North,Location West,Date Sampled,Site ID,Spill Reference,Scheme,Top,Depth,Core ,HgcA,FeRB,SRB
27,U-06,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S1,3169.197381,36.73755247,0.319964409
28,U-06,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S1,5656.901804,86.46394654,0.478576274
29,U-06,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S2,1952.363136,26.49548971,0.081687997
30,U-06,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S2,4475.522,60.02409151,0.366527488
31,U-06,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S3,2414.145877,68.84822744,0.285245482
32,U-06,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S3,3203.909593,63.52678483,0.306712168
33,U-06,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,Dredge,,,,499.6807186,16.4428352,0.339154418
22,U-05,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,0,4,Pooled,322.4815471,0.157580831,0.014717842
23,U-05,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,4,8,Pooled,145.739776,0.088401108,0.011889065
24,U-05,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,8,12,Pooled,610.2509942,13.82597322,0.103474464
25,U-05,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,12,16,Pooled,290.7971781,16.17023212,0.117282428
26,U-05,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,Dredge,,,,1021.75219,15.06883793,0.20627195
19,U-04,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,A,0,8,Pooled,189.0448328,0.021927903,0.005826939
20,U-04,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,A,8,16,Pooled,3.975823595,0.02028787,0.005020727
21,U-04,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,Ponar,,,,3660.459894,23.18620281,0.297601354
37,L-08,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S1,3025.418489,125.4216698,0.379531075
38,L-08,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S1,0,57.80037374,0.63762086
39,L-08,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S2,456.0199563,23.97976855,0.249882563
40,L-08,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S2,720.342517,17.76572158,0.257118507
41,L-08,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S3,1182.638113,33.31028092,0.232038752
42,L-08,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S3,803.7864361,17.35487376,0.175841253
43,D-09,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S1,1641.316386,18.63414489,0.28997049
44,D-09,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S1,3391.256179,17.64909805,0.228105552
45,D-09,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S2,1174.7448,18.05453318,0.233380528
46,D-09,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S2,1435.813661,12.45353423,0.197501374
47,D-09,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S3,1032.469166,9.393746582,0.1209974
48,D-09,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S3,1183.498097,11.46070109,0.223810301
49,D-09,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,Dredge,,,,586.6926997,6.701234233,0.35018651
50,D-11,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,0,4,Pooled,147.2778012,0.083122694,0.019333252
51,D-11,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,4,8,Pooled,515.1005914,1.357242378,0.027331259
52,D-11,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,8,12,Pooled,366.8435806,1.15412019,0.032605661
53,D-11,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,12,16,Pooled,16.82480477,0.033854965,0.00916639
9,D-02,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,0,4,Pooled,13.09049339,0.010052124,0.012646006
10,D-02,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,4,8,Pooled,20.6119694,0.004107026,0.014590722
11,D-02,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,8,12,Pooled,12.2208402,0.00719562,0.016210138
12,D-02,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,12,16,Pooled,7.558638275,0.008141811,0.010994588
13,D-02,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,18,20,Pooled,2494.179862,11.23208249,0.248374041
14,D-02,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,Ponar,,,,9496.192662,110.731914,1.069065008
1,D-01,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,B,0,8,S1,536.1463674,1.757455979,0.94114097
5,D-01,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,B,0,8,S3,12.4495222,0.004883572,0.012477224
7,D-01,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,Dredge,,,,50.9590194,0.00460518,0.01324545
8,D-01,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,Ponar,,,,16266.61831,30.91396862,0.442650514
15,D-03,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,A,0,8,Pooled,5.215525782,0.005542616,0.034526727
16,D-03,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,A,8,16,Pooled,10.11011992,0.021180184,0.022037535
17,D-03,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,na,20,22,Pooled,150.5242409,0.305208369,0.012595699
18,D-03,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,Ponar,,,,3180.103997,60.21330687,0.463079248
34,D-07,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,A,0,8,Pooled,666.8693221,9.175558762,0.054150618
35,D-07,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,A,8,16,Pooled,33.26074877,0.069796699,0.002409582
36,D-07,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,Dredge,,,,183.7233477,5.037704167,0.157229702
